Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Socrata ID
paid-for,4,mon-sat 08:30-18:30,2 hours,å£4.65 p/h,13913,E115,Montague Street,WC1B 5BJ,CA-E,N/A,21,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530107,181818,"LINESTRING (530112.646081724 181808.607082806,530113.990026683 181809.696770886,530100.146569094 181826.831866016,530098.959280296 181825.642206552)","LINESTRING (-0.126077143514981 51.5202283337791,-0.126057382268275 51.5202378171105,-0.126250474694305 51.5203949893067,-0.126268016232364 51.5203845714914)",46035992,Defined By Custodian,4/9/17 23:31,1007
resident permit holders only,10,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Russell Square,WC1B 4HR,CA-E,CA-E;CA-D,54,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530199,181920,"LINESTRING (530222.272414124 181934.631008832,530221.019164836 181936.450488012,530177.122459534 181905.049476458,530178.243787844 181903.3399658)","LINESTRING (-0.124451469465023 51.5213356229816,-0.124468850952427 51.5213522625885,-0.125112779671584 51.52108018282,-0.125097257792423 51.5210645619256)",46035993,Defined By Custodian,4/9/17 23:31,1008
resident permit holders only,9,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Russell Square,WC1B 4HR,CA-E,CA-E;CA-D,54,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530194,181928,"LINESTRING (530215.453748593 181946.247683593,530216.575076903 181944.538172936,530172.793802456 181912.987204307,530171.540553169 181914.786689209)","LINESTRING (-0.12454540462728 51.521441587998,-0.124529882824567 51.5214259670302,-0.125172204790424 51.5211525127536,-0.1251895938545 51.5211689725753)",46035994,Defined By Custodian,4/9/17 23:31,1009
resident permit holders only,2,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Frognal Lane,NW3 7DU,CA-H,CA-H,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525796,185397,"LINESTRING (525802.309529413 185398.079606984,525801.61694428 185400.009054685,525791.05502101 185395.86024227,525792.044428342 185393.830823185)","LINESTRING (-0.186887079901621 51.5534620751801,-0.186896374625983 51.5534795691659,-0.187050115704669 51.5534446369895,-0.187036577719285 51.5534261784698)",46035048,Defined By Custodian,4/9/17 23:31,101
resident permit holders only,9,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Russell Square,WC1B 4JA,CA-E,CA-E;CA-D,59,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530128,181882,"LINESTRING (530152.288335497 181901.2805553,530153.442644052 181899.770987409,530104.194894095 181865.820705576,530103.213731824 181867.31027919)","LINESTRING (-0.125471908022179 51.5210520304459,-0.125455837165032 51.5210381988142,-0.126177777732675 51.5207444355782,-0.126191361915142 51.5207580475884)",46035995,Defined By Custodian,4/9/17 23:31,1010
bus cage,1,at any time,N/A,N/A,N/A,N/A,Russell Square,WC1B 4JA,CA-E,N/A,34,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530142,181881,"LINESTRING (530158.315475162 181889.523920602,530157.119941303 181891.383388335,530128.814646543 181870.849266166,530129.927729791 181869.379686829)","LINESTRING (-0.125389425077386 51.5209449906061,-0.125405960615526 51.520961976152,-0.125821275484853 51.5207839593804,-0.125805783709687 51.5207704966462)",46035996,Defined By Custodian,4/9/17 23:31,1011
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Russell Square,WC1B 4JP,CA-E,N/A,22,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530119,181863,"LINESTRING (530130.034915586 181868.819847081,530128.930077398 181870.33941211,530110.106602904 181856.613341157,530110.947599137 181855.423681694)","LINESTRING (-0.125804446244546 51.520765440911,-0.125819800806241 51.52077935095,-0.12609601606572 51.5206603321003,-0.126084340393171 51.5206494475494)",46035997,Defined By Custodian,4/9/17 23:31,1012
loading,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Malet Street,WC1E 7JN,CA-E,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529715,182069,"LINESTRING (529716.759472954 182063.664073501,529718.993884513 182065.173641392,529712.257669593 182074.530962887,529710.089218523 182073.021394996)","LINESTRING (-0.131686029060073 51.5226114062648,-0.131653285750868 51.5226244595324,-0.131746883575824 51.5227100960326,-0.131778676717638 51.5226970276058)",46035998,Defined By Custodian,4/9/17 23:31,1013
doctor,2,mon-sun 08:00-20:00,N/A,N/A,N/A,N/A,Keppel Street,WC1E 6DP,CA-E,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529840,181833,"LINESTRING (529836.890013197 181829.281164911,529835.851135498 181830.840718494,529844.211627455 181836.908981471,529845.291730459 181835.369422166)","LINESTRING (-0.130041757000168 51.5204775160021,-0.130056147896904 51.5204917697145,-0.129933481714861 51.5205443830371,-0.129918489632017 51.5205302995236)",46035999,Defined By Custodian,4/9/17 23:31,1014
free (bicycles),1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Percy Street,W1T 2DB,CA-E,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529624,181605,"LINESTRING (529617.73628913 181603.165889735,529618.808147073 181601.68631326,529629.955469682 181609.25414699,529628.586789539 181610.833694849)","LINESTRING (-0.133281743059426 51.5184957799534,-0.13326684731355 51.5184822377949,-0.133103496695326 51.518547691814,-0.133122631208094 51.51856220045)",46036000,Defined By Custodian,4/9/17 23:31,1015
free (bicycles),1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Whitfield Street,W1T 4HJ,CA-E,N/A,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529318,182039,"LINESTRING (529317.310997789 182043.829751017,529315.497084347 182042.680080107,529320.501836435 182035.602106156,529322.051907922 182036.991708387)","LINESTRING (-0.137447618635534 51.522524672442,-0.137474170754859 51.5225147556333,-0.137404669449647 51.5224500034117,-0.13738183018166 51.5224621367421)",46036001,Defined By Custodian,4/9/17 23:31,1016
disabled (blue badge),2,at any time,N/A,N/A,N/A,N/A,Huntley Street,WC1E 6AG,CA-E,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529475,182139,"LINESTRING (529469.943568893 182143.801134506,529471.468905196 182144.860831171,529479.112076837 182134.133901723,529477.471309678 182133.054210781)","LINESTRING (-0.135212151052671 51.523388147916,-0.135189788185299 51.5233973217226,-0.135083619797783 51.5232991719791,-0.13510765285867 51.5232898449475)",46036002,Defined By Custodian,4/9/17 23:31,1017
disabled (dedicated),,at any time,N/A,N/A,N/A,N/A,Whitfield Street,W1T 2RB,CA-E,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529570,181679,"LINESTRING (529570.475598898 181683.252965049,529568.983242839 181682.073302723,529572.817196251 181676.954767889,529574.433228227 181678.144427352)","LINESTRING (-0.133933085303265 51.519226327277,-0.133955015350407 51.5192160680376,-0.133901669071198 51.5191691909151,-0.133877953866708 51.5191795116433)",46036003,Defined By Custodian,4/9/17 23:31,1018
taxi rank,,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Great Russell Street,WC1B 3NB,CA-C,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529913,181501,"LINESTRING (529906.305182607 181500.515273169,529906.907072068 181498.855748203,529920.354766724 181503.944291622,529919.670426652 181505.683793695)","LINESTRING (-0.129162909161874 51.517507071763,-0.129154850646994 51.5174920199338,-0.128959276356339 51.5175346591885,-0.128968492978749 51.5175504486999)",46036004,Defined By Custodian,4/9/17 23:31,1019
resident permit holders only,7,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Frognal Lane,NW3 7DX,CA-H,CA-H,35,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525747,185376,"LINESTRING (525780.666244022 185389.152162438,525779.990149012 185391.021627309,525747.70248974 185376.795699439,525747.562323701 185376.735716609,525748.287889078 185375.086188781)","LINESTRING (-0.18720227485713 51.5533866662259,-0.187211353400145 51.553403617457,-0.187681886756893 51.5532829610143,-0.187683928780514 51.5532824531658,-0.187674058375643 51.5532674675017)",46035049,Defined By Custodian,4/9/17 23:31,102
business scheme a,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Store Street,WC1E 7BS,CA-E,BUSA,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529753,181772,"LINESTRING (529752.139030139 181768.828469315,529751.034191951 181770.408017174,529755.882287879 181773.94700415,529756.995371128 181772.347462014)","LINESTRING (-0.131284827343208 51.5199537050294,-0.131300161262731 51.5199681534112,-0.131229023666622 51.5199988444464,-0.131213578346586 51.5199842144818)",46036005,Defined By Custodian,4/9/17 23:31,1020
solo motorcycles,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Store Street,WC1E 7DF,CA-E,N/A,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529653,181703,"LINESTRING (529648.638778137 181702.087573698,529649.702391019 181700.548014392,529656.966289849 181705.906480547,529655.960392395 181707.336071331)","LINESTRING (-0.132800256644118 51.5193776701746,-0.132785501574758 51.5193635908011,-0.132678898431181 51.5194100798174,-0.132692862533467 51.5194231577202)",46036006,Defined By Custodian,4/9/17 23:31,1021
disabled (green permit),2,at any time,N/A,N/A,N/A,N/A,Store Street,WC1E 7BL,CA-E,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529697,181730,"LINESTRING (529693.005451922 181725.240946114,529691.801673001 181726.910468218,529702.446046883 181734.778216099,529703.732276414 181733.128688271)","LINESTRING (-0.132152659613808 51.5195755664804,-0.132169385814823 51.519590846013,-0.13201316419474 51.5196591090341,-0.131995242995289 51.5196439902472)",46036007,Defined By Custodian,4/9/17 23:31,1022
paid-for,2,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13871,E104,Store Street,WC1E 7DF,CA-E,N/A,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529687,181723,"LINESTRING (529685.048967959 181719.45260301,529683.919394588 181721.012156592,529691.752202634 181726.860482527,529692.923001311 181725.220951837)","LINESTRING (-0.13226939816082 51.5195253736537,-0.132285095907464 51.5195396479011,-0.132170116797142 51.5195904081564,-0.132153854638383 51.5195754057113)",46036008,Defined By Custodian,4/9/17 23:31,1023
solo motorcycles,1,mon-sat 08:30-18:30,N/A,å£6.80 p/h,N/A,N/A,Store Street,WC1E 6HW,CA-E,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529792,181804,"LINESTRING (529787.914350257 181804.208341932,529789.085148933 181802.58880552,529795.590502142 181807.337446235,529794.411458404 181808.906996956)","LINESTRING (-0.130756473956299 51.5202634402126,-0.13074020467617 51.5202486172568,-0.130644748565689 51.5202897982196,-0.130661154991355 51.5203041738777)",46036009,Defined By Custodian,4/9/17 23:31,1024
paid-for / resident permit holders,2,mon-fri 08:30-18:30,2 hours,å£5.55 p/h,14123,E109,Maple Place,W1T 4BD,CA-E,CA-E,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529303,181991,"LINESTRING (529305.199003032 181986.376196926,529306.592418358 181987.385907899,529300.862100892 181995.603555622,529299.386234955 181994.543858957)","LINESTRING (-0.137643163700613 51.5220111263921,-0.137622720702771 51.5220198816431,-0.137702255996147 51.5220950415559,-0.137723905080582 51.5220858559428)",46036010,Defined By Custodian,4/9/17 23:31,1025
resident permit holders only,2,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Maple Place,W1T 4BB,CA-E,CA-E,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529297,181999,"LINESTRING (529299.34500965 181994.603841787,529300.796140404 181995.693529867,529294.818471105 182003.7312291,529293.523996513 182002.801495233)","LINESTRING (-0.137724476961622 51.5220864044174,-0.137703173204616 51.5220958652108,-0.137786337963236 51.5221694645003,-0.137805326385991 51.5221614053226)",46036011,Defined By Custodian,4/9/17 23:31,1026
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Maple Place,W1T 4BD,CA-E,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529310,181981,"LINESTRING (529311.201407513 181977.798652223,529312.726743817 181978.848351749,529309.23083791 181983.816929509,529307.771462095 181982.737238567)","LINESTRING (-0.137559841063497 51.5219326699312,-0.137537483042576 51.5219417543585,-0.137586021512267 51.5219872049426,-0.137607440350414 51.5219778358969)",46036012,Defined By Custodian,4/9/17 23:31,1027
car club,1,at any time,N/A,N/A,N/A,N/A,Kenton Street,WC1N 1NN,CA-D,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530184,182406,"LINESTRING (530181.73144869 182408.635326507,530183.726753476 182409.315131915,530185.408745941 182404.606479753,530183.520626948 182403.95666576)","LINESTRING (-0.124860494516597 51.525604650221,-0.124831498169725 51.5256102998539,-0.12480900494731 51.5255675977021,-0.124836446025779 51.5255621929111)",46036013,Defined By Custodian,4/9/17 23:31,1028
car club,1,at any time,N/A,N/A,N/A,N/A,Warren Street,W1T 5PA,CA-E,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529211,182239,"LINESTRING (529213.217101388 182242.572861394,529213.942666765 182240.703396522,529209.26771712 182238.923905896,529208.525661621 182240.773376491)","LINESTRING (-0.138874340789957 51.5243345137097,-0.138864573130312 51.5243175475894,-0.138932573460816 51.524302624413,-0.138942586028925 51.5243194146147)",46036014,Defined By Custodian,4/9/17 23:31,1029
resident permit holders only,2,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Frognal Lane,NW3 7DL,CA-H,CA-H,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525819,185410,"LINESTRING (525823.70546297 185414.524899568,525824.472253652 185412.585454728,525815.015168569 185408.93649923,525814.314338376 185410.845952655)","LINESTRING (-0.186572762865448 51.5536051003313,-0.186562402078882 51.553587499945,-0.186700037971584 51.5535568142235,-0.186709458646999 51.5535741303742)",46035050,Defined By Custodian,4/9/17 23:31,103
resident permit holders only,5,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Endsleigh Gardens,NW1 2AX,CA-D,CA-D;CA-E,27,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529678,182473,"LINESTRING (529688.981862105 182482.804095918,529690.391767553 182481.014608154,529665.821485472 182465.389080914,529664.584726306 182467.328525754)","LINESTRING (-0.131932038261533 51.526384440544,-0.131912384209388 51.5263680355905,-0.132272109584265 51.526233251211,-0.132289214087862 51.5262509639988)",46036016,Defined By Custodian,4/9/17 23:31,1030
loading / paid-for,1,"mon-fri 08:30-18:30, sat 08:30-13:30",2 hours,å£4.65 p/h,13463,D314,Woburn Place,WC1H 0DG,CA-D,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530053,182181,"LINESTRING (530053.867041134 182177.93136483,530055.351152132 182179.02105291,530055.276946582 182179.131021431,530051.525443781 182184.169579159,530047.510099025 182189.418076792,530046.075458393 182188.298397297)","LINESTRING (-0.126787659243814 51.5235608343518,-0.126765877465662 51.5235702855391,-0.126766905907286 51.5235712908553,-0.126819091520665 51.5236174334765,-0.126875000704151 51.5236655234192,-0.12689608090029 51.5236557913107)",46036017,Defined By Custodian,4/9/17 23:31,1031
taxi rank,,at any time,N/A,N/A,N/A,N/A,Tavistock Square,WC1H 9HD,CA-D,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529869,182408,"LINESTRING (529875.732496044 182410.19488009,529874.281365291 182412.25429059,529864.519212947 182405.306279437,529865.747727051 182403.59676878)","LINESTRING (-0.129268304609294 51.5256890521048,-0.129288451912064 51.525707892657,-0.129431649956193 51.5256476962402,-0.129414580893229 51.5256320512743)",46036018,Defined By Custodian,4/9/17 23:31,1032
paid-for,3,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13876,E114,Warren Street,W1T 5PG,CA-E,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529010,182161,"LINESTRING (529021.148403038 182163.21557718,529020.002339545 182164.625173687,529015.830338627 182163.075617243,529010.784361234 182161.126175265,529004.938612913 182158.846827721,529004.732486385 182158.766850615,529005.392091273 182157.177305617)","LINESTRING (-0.141670361680904 51.5236652224724,-0.141686356209574 51.5236781516408,-0.141747025088101 51.5236651783762,-0.141820430749412 51.5236488108773,-0.141905478558206 51.5236296610751,-0.141908477277414 51.5236289893821,-0.141899556459241 51.523614554109)",46036019,Defined By Custodian,4/9/17 23:31,1033
resident permit holders only,4,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Warren Street,W1T 5NA,CA-E,CA-E,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529077,182186,"LINESTRING (529083.415104473 182186.798826545,529082.837950196 182188.548325756,529082.706029218 182188.498340064,529077.899158597 182186.798826545,529072.828446019 182184.909367397,529068.128761192 182183.109882494,529068.796611141 182181.570323189)","LINESTRING (-0.140764713832571 51.5238629436484,-0.140772387996957 51.5238787976364,-0.140774306758884 51.5238783785527,-0.140844177027517 51.5238642031052,-0.14091791770332 51.5238483808729,-0.140986280344681 51.5238332824558,-0.140977222708549 51.523819294439)",46036020,Defined By Custodian,4/9/17 23:31,1034
paid-for,4,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13879,E105,Warren Street,W1T 5LF,CA-E,N/A,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529211,182235,"LINESTRING (529221.824945177 182237.704255018,529221.231300778 182239.343785707,529201.690505968 182231.785949115,529202.209944818 182230.106429873)","LINESTRING (-0.138752118332439 51.5242887935672,-0.138760069718212 51.5243036631973,-0.139044347538584 51.5242402096959,-0.139037479740072 51.5242249976793)",46036021,Defined By Custodian,4/9/17 23:31,1035
paid-for,1,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,14102,E105,Warren Street,W1T 5NR,CA-E,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529141,182213,"LINESTRING (529145.055181265 182216.700267347,529145.624090481 182215.330659393,529141.155267364 182213.65114015,529140.231820521 182213.331231723,529139.679401427 182214.720833954)","LINESTRING (-0.139865771743392 51.5241175804803,-0.139858077515795 51.5241051422822,-0.139923071118513 51.5240910698465,-0.139936491583384 51.5240884058814,-0.139943940948697 51.5241010199898)",46036022,Defined By Custodian,4/9/17 23:31,1036
paid-for,2,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13877,E114,Warren Street,W1T 6AG,CA-E,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529086,182192,"LINESTRING (529094.488221532 182197.895650112,529095.230277031 182196.076170933,529086.729619036 182192.94706663,529084.800274738 182192.237269807,529084.165405033 182193.966774741)","LINESTRING (-0.140601131413672 51.5239601388418,-0.140591107328259 51.5239436182988,-0.140714714137664 51.5239174391332,-0.140742768282607 51.5239115009564,-0.140751281220272 51.5239271884421)",46036023,Defined By Custodian,4/9/17 23:31,1037
resident permit holders only,5,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Warren Street,W1T 6AG,CA-E,CA-E,24,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529061,182183,"LINESTRING (529084.000503811 182193.886797634,529084.668353761 182192.1572927,529061.681123411 182183.55975372,529061.491487005 182183.489773752,529060.856617301 182185.159295856)","LINESTRING (-0.140753686079241 51.5239265073658,-0.140744698024127 51.5239108123497,-0.141079000886722 51.5238387973179,-0.14108175841469 51.5238382117229,-0.141090293408272 51.5238533601381)",46036024,Defined By Custodian,4/9/17 23:31,1038
