EQUIP_ID,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
21294,2002,DODGE,NEON,SUBCOMPACT SEDAN,DPR,3450.00,12/19/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
21257,2002,DODGE,NEON,SUBCOMPACT SEDAN,SFD,2900.00,09/24/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
21838,2002,DODGE,NEON,SUBCOMPACT SEDAN,DPR,2801.00,10/21/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
21845,2002,DODGE,NEON,SUBCOMPACT SEDAN,SDCI,4700.00,12/19/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
12172,2001,PLYMOUTH,NEON,SUBCOMPACT SEDAN,SDCI,4000.00,12/20/2013 12:00:01 AM,MURPHYS AUCTION
11516,2001,PLYMOUTH,NEON,SEDAN SUBCOMPACT,SPU,4281.59,06/26/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
36589,2003,FORD NEW HOLLAND,TS110,TRACTOR - BRUSHCUTTER FLAIL - 4X4,SPU,18000.00,10/17/2014 12:00:01 AM,MURPHYS AUCTION
31757,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,500.00,01/08/2015 12:00:01 AM,MURPHYS AUCTION
31495,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,2150.00,10/21/2016 12:00:01 AM,MURPHYS AUCTION
99244,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,350.00,07/30/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
99243,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,1625.00,08/13/2015 12:00:01 AM,MURPHYS AUCTION
99236,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,2042.56,04/22/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
99229,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,2305.00,08/26/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
99206,2009,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,1125.00,03/23/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
99253,2009,FORD,CROWN VICTORIA,PATROL CAR - DUI,SPD,2000.66,12/09/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
59852,2005,FORD,CROWN VICTORIA,FULLSIZE SEDAN,SPD,2650.00,01/05/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
79926,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2600.00,08/09/2013 12:00:01 AM,MURPHYS AUCTION
89130,2008,FORD,CROWN VICTORIA,PATROL CAR,SPD,900.00,01/08/2015 12:00:01 AM,MURPHYS AUCTION
89122,2008,FORD,CROWN VICTORIA,PATROL CAR,SPD,1650.00,03/31/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
69908,2006,FORD,CROWN VICTORIA,PATROL CAR ACTIVE SPARE RESERVE,SPD,901.00,08/13/2015 12:00:01 AM,MURPHYS AUCTION
59845,2005,FORD,CROWN VICTORIA,PATROL CAR - IN EVIDENCE WAREHOUSE,SPD,106.70,06/28/2016 12:00:01 AM,OTHER
59840,2005,FORD,CROWN VICTORIA,PATROL CAR - HALF SCREEN,SPD,2225.00,11/04/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
69910,2006,FORD,CROWN VICTORIA,PATROL CAR TRAINING,SPD,2325.00,03/28/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
69907,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1900.00,04/21/2014 12:00:01 AM,MURPHYS AUCTION
79958,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2127.00,09/02/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
39626,2003,FORD,CROWN VICTORIA,FULLSIZE SEDAN,SPD,2100.00,03/28/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
69892,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1519.00,07/15/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
31488,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,2000.00,10/21/2016 12:00:01 AM,MURPHYS AUCTION
31487,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,2088.00,04/19/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
79976,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2400.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
79985,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2205.00,07/02/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
89187,2008,FORD,CROWN VICTORIA,PATROL CAR,SPD,1690.00,06/10/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
89184,2008,FORD,CROWN VICTORIA,PATROL CAR,SPD,2275.00,02/17/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
89179,2008,FORD,CROWN VICTORIA,PATROL CAR,SPD,3705.00,09/02/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
89168,2008,FORD,CROWN VICTORIA,PATROL CAR,SPD,2570.00,01/28/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
89197,2008,FORD,CROWN VICTORIA,PATROL CAR - TRAFFIC,SPD,1104.00,08/26/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
79993,2007,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,825.00,08/13/2015 12:00:01 AM,MURPHYS AUCTION
31571,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2800.00,02/01/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
31569,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,2900.77,10/06/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
80202,2000,FORD,E350,PASSENGER VAN,DPR,4152.00,01/28/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
82450,2002,FORD,E450,AIRPORTER VAN - WHEELCHAIR LIFT,DPR,4888.88,02/25/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
34644,2003,FORD,F250,PICKUP,SPU,6100.00,01/07/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
34664,2003,FORD,F250,PICKUP - 4X4,SPU,6200.00,01/06/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
63580,2006,FORD,F250,PICKUP - DUMP BODY,SDOT,10333.00,01/06/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
23316,2002,FORD,F250,PICKUP - CREW CAB,DPR,5100.00,02/26/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
54602,2005,FORD,F250,PICKUP,SPU,13500.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
82467,2001,FORD,F250,PICKUP,DPR,6322.26,03/12/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
44668,2004,FORD,F250,PICKUP - 4X4,SPU,8600.00,07/01/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
43594,2004,FORD,F250,PICKUP,SDOT,6510.00,06/25/2014 12:00:01 AM,MURPHYS AUCTION
03303,2000,FORD,F250,PICKUP,DPR,5600.00,04/22/2015 12:00:01 AM,MURPHYS AUCTION
53943,2005,FORD,F350,PICKUP,DPR,7750.00,12/08/2016 12:00:01 AM,MURPHYS AUCTION
63853,2006,FORD,F350,PICKUP - DUMP BODY,DPR,11000.00,03/13/2017 12:00:01 AM,MURPHYS AUCTION
13606,2001,FORD,F350,PICKUP - SERVICE BODY - 4X4,SPU,20020.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
53254,2005,FORD,F350,PICKUP - ANIMAL CONTROL BODY,FAS,6600.00,03/28/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
73671,2007,FORD,F350,PICKUP,SDOT,4600.00,08/13/2015 12:00:01 AM,MURPHYS AUCTION
44667,2004,FORD,F350,PICKUP - SERVICE BODY,SPU,17500.00,06/25/2014 12:00:01 AM,MURPHYS AUCTION
51680,2005,FORD,FOCUS,SUBCOMPACT SEDAN,SDOT,4399.00,12/09/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
74607,2007,FORD,RANGER,COMPACT PICKUP,SPU,7104.00,03/01/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
74547,2007,FORD,RANGER,COMPACT PICKUP,SPU,6600.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
62680,2006,FORD,RANGER,COMPACT PICKUP - 4X4,DPR,7400.00,02/01/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
54537,2005,FORD,RANGER,COMPACT PICKUP,SPU,5176.00,07/22/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
63393,2006,FORD,RANGER,COMPACT PICKUP,DPR,2325.00,03/13/2017 12:00:01 AM,MURPHYS AUCTION
63369,2006,FORD,RANGER,COMPACT PICKUP,DPR,4650.00,03/13/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
13889,2001,GMC,SONOMA,COMPACT PICKUP,DPR,2200.00,02/14/2013 12:00:01 AM,MURPHYS AUCTION
23719,2002,GMC,SONOMA,PICKUP COMPACT,SDOT,5250.00,01/08/2015 12:00:01 AM,MURPHYS AUCTION
73764,2007,CHEVROLET,SUBURBAN K1500,SUV FULLSIZE - 4X4,SFD,9750.00,05/11/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
53767,2005,CHEVROLET,SUBURBAN K1500,SUV FULLSIZE - 4X4,SFD,6400.00,06/24/2015 12:00:01 AM,MURPHYS AUCTION
53760,2005,CHEVROLET,SUBURBAN K1500,SUV FULLSIZE - 4X4,SFD,7229.00,04/28/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
53158,2005,CHEVROLET,SUBURBAN K2500,SUV FULLSIZE - 4X4,SPD,3400.00,10/29/2015 12:00:01 AM,MURPHYS AUCTION
16406,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,15200.00,01/14/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
23225,2002,GMC,WT5500,TRUCK - BOOK DELIVERY - CLASS 5,SPL,18640.00,07/08/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
87619,2008,HARLEY-DAVIDSON,FLHPI ROAD KING,POLICE MOTORCYCLE,SPD,6600.00,05/22/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
97637,2009,HARLEY-DAVIDSON,FLHPI ROAD KING,POLICE MOTORCYCLE,SPD,7500.00,03/19/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
97626,2009,HARLEY-DAVIDSON,FLHPI ROAD KING,POLICE MOTORCYCLE,SPD,7300.00,04/29/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
978009,1997,INGERSOLL RAND,P185WJD,AIR COMPRESSOR - TRAILER MOUNTED,DPR,4355.00,04/26/2016 12:00:01 AM,MURPHYS AUCTION
25500,2002,JOHN DEERE,624H,WHEEL LOADER - 29000 LB,SDOT,57500.00,06/23/2017 12:00:01 AM,MURPHYS AUCTION
30868,2009,JOHN DEERE,GATOR,UTILITY VEHICLE 4 WHEEL,DPR,5750.01,12/08/2016 12:00:01 AM,MURPHYS AUCTION
965409,1996,EMERGENCY ONE,PUMPER,PUMPER - TOP MOUNTED CONTROLS,SFD,7500.00,02/02/2017 12:00:01 AM,OTHER SURPLUS METHOD
955406,1995,EMERGENCY ONE,PUMPER,PUMPER - TOP MOUNTED CONTROLS,SFD,7500.00,10/28/2016 12:00:01 AM,OTHER
05571,2000,KENWORTH,T800B,TRUCK - 12 YD DUMP - CLASS 8,SDOT,31100.00,04/10/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
05569,2000,KENWORTH,T800B,TRUCK - 12 YD DUMP - CLASS 8,SDOT,45000.00,03/28/2013 12:00:01 AM,MURPHYS AUCTION
26593,2002,PETERBILT,330,TRUCK - DUMPING FLATBED - CLASS 6,SDOT,28100.00,07/31/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
25602,2002,PETERBILT,330,TRUCK - DUMP - SANDER - PLOW - CLASS 6,SDOT,32200.00,06/29/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
25601,2002,PETERBILT,330,TRUCK - DUMP - SANDER - PLOW - CLASS 6,SDOT,30100.00,06/29/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
25587,2002,PETERBILT,330,TRUCK - DUMPING FLATBED CRANE CLASS 6,SDOT,17600.00,03/03/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
58057,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,11500.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
78079,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,17877.00,07/29/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
78140,2007,TORO,580D,MOWER - 16` ROTARY,DPR,15120.99,07/01/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
51564,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SFD,5100.00,06/18/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
31281,2003,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,FAS,6750.00,09/27/2013 12:00:01 AM,MURPHYS AUCTION
51334,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,8200.00,01/06/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
52231,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,7200.00,03/01/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
51359,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,HSD,8700.00,10/21/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
41265,2004,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,FAS,5200.00,06/14/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
31058,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPD,5300.00,03/23/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
51444,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,HSD,9100.00,11/09/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
74625,2007,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - CREW CAB - 4X4,SPU,12000.00,01/08/2015 12:00:01 AM,MURPHYS AUCTION
43373,2004,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,3950.00,03/01/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
63765,2006,CHEVROLET,SUBURBAN K1500/K15906,SUV FULLSIZE - 4X4,SFD,7833.00,09/02/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
63773,2006,CHEVROLET,SUBURBAN K1500/K15906,SUV FULLSIZE - 4X4,SFD,6350.00,04/26/2016 12:00:01 AM,MURPHYS AUCTION
53158,2005,CHEVROLET,SUBURBAN K2500/K25906,SUV FULLSIZE - 4X4,SPD,3400.00,10/29/2015 12:00:01 AM,MURPHYS AUCTION
51331,2005,JEEP,LIBERTY,COMPACT SUV - 4X4,SPU,6155.00,02/03/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
53240,2005,JEEP,LIBERTY,SUV COMPACT,SPU,4500.00,10/07/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
58345,2005,JEEP,LIBERTY,COMPACT SUV,SPD,1625.00,08/18/2015 12:00:01 AM,MURPHYS AUCTION
44585,2004,JEEP,LIBERTY,COMPACT SUV - 4X4,SPU,7350.00,06/24/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
51688,2005,DODGE,STRATUS,SEDAN MIDSIZE,SPU,5401.01,06/05/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
31915,2012,FORD,ESCAPE,SUV COMPACT 4X4,SDOT,10250.00,03/28/2013 12:00:01 AM,MURPHYS AUCTION
64701,2006,FORD,ESCAPE,SUV COMPACT 4X4,SPU,5550.00,05/08/2017 12:00:01 AM,MURPHYS AUCTION
64628,2006,FORD,ESCAPE,SUV COMPACT 4X4,SPU,4200.00,05/08/2017 12:00:01 AM,MURPHYS AUCTION
58178,2005,KUBOTA,L39 4X4,TRACTOR,DPR,15602.00,12/03/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
63450,2006,FORD,F150,PICKUP,DPR,7820.00,04/18/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
83941,2008,FORD,F150,PICKUP,SDOT,14100.00,05/08/2017 12:00:01 AM,MURPHYS AUCTION
58025,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,5000.00,10/29/2015 12:00:01 AM,MURPHYS AUCTION
83422,2008,CHEVROLET,UPLANDER,CARGO MINIVAN,SPU,3050.00,07/27/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
79936,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,5450.00,02/22/2016 12:00:01 AM,MURPHYS AUCTION
68160,2006,JOHN DEERE,410G,BACKHOE LOADER - 18600 LB - BREAKER 4X4,SPU,30200.99,03/08/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
87146,2008,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,24000.00,08/13/2015 12:00:01 AM,MURPHYS AUCTION
EG5501,2000,CASE,721,SOLID WASTE WHEEL LOADER,SPU,15101.00,06/17/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
81945,2008,E-RIDE,EXV-2,ELECTRIC TRUCK - 2 PSSGR,DPR,1550.00,06/23/2017 12:00:01 AM,MURPHYS AUCTION
6451,2001,FORD,G/EX BUS,BUS - 16 PASSENGER,SPD,2600.00,05/08/2017 12:00:01 AM,MURPHYS AUCTION
87129,2008,VERMEER,SC60TX,STUMP GRINDER,DPR,35300.00,11/04/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
68181,2006,KUBOTA,L39-TL,TRACTOR - LOADER - 4X4,DPR,16500.00,02/01/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
23642,2002,FORD,F450,PICKUP - FLATBED - CLASS 4,SDOT,6601.01,08/20/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
23675,2002,FORD,F450,PICKUP - FLATBED - CLASS 4,SDOT,6601.01,08/20/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
23663,2002,FORD,F450,PICKUP - FLATBED - CLASS 4,SDOT,7101.00,08/27/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
23643,2002,FORD,F450,PICKUP - CHIP BODY - CLASS 4,SDOT,20000.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
13796,2001,FORD,F450,PICKUP - DUMP BODY - CLASS 4,DPR,15050.00,06/24/2015 12:00:01 AM,MURPHYS AUCTION
78287,2007,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,1925.00,04/06/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
78294,2007,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,1700.00,03/13/2017 12:00:01 AM,MURPHYS AUCTION
58272,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3000.00,02/22/2016 12:00:01 AM,MURPHYS AUCTION
58273,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,2900.00,02/22/2016 12:00:01 AM,MURPHYS AUCTION
88312,2008,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,900.00,06/23/2017 12:00:01 AM,MURPHYS AUCTION
90487,2009,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,5210.00,06/29/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
71924,2007,TORO,WORKMAN E2065,UTILITY VEHICLE - ELECTRIC,DPR,3300.00,01/24/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
97427,2009,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SFD,1800.00,09/27/2013 12:00:01 AM,MURPHYS AUCTION
30991,2010,SEGWAY,I2,PERSONAL MOBILITY DEVICE ELECTRIC,FAS,2624.00,11/22/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
76517,2007,JOHN DEERE,ZTRAK 777,"MOWER - 72"" ROTARY",SPU,3750.00,09/27/2013 12:00:01 AM,MURPHYS AUCTION
32612,2014,FORD,POLICE INTERCEPTOR UTILITY,PATROL UTILITY 4WD,SPD,1625.00,04/26/2016 12:00:01 AM,MURPHYS AUCTION
05861,2000,CHEVROLET,3500 HD,PICKUP - SERVICE BODY - CLASS 4,DPR,9000.00,03/28/2013 12:00:01 AM,MURPHYS AUCTION
13564,2001,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,7350.00,05/13/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
32555,2003,CHEVROLET,ASTRO,MINIVAN CARGO,SPU,5700.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
23164,2002,CHEVROLET,ASTRO,PASSENGER MINIVAN,SPD,6701.00,01/06/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
51535,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,6600.00,06/24/2015 12:00:01 AM,MURPHYS AUCTION
51472,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,8700.00,07/08/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
13438,2001,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,5100.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
13437,2001,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,5500.00,10/23/2014 12:00:01 AM,MURPHYS AUCTION
03168,2000,CHEVROLET,C3500,PICKUP - CREW CAB - DRW,SPD,9100.00,03/17/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
23327,2002,CHEVROLET,EXPRESS,CARGO VAN,DPR,6211.11,01/29/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
53041,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,9000.00,12/24/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
32910,2003,CHEVROLET,EXPRESS,CARGO VAN,FAS,5500.00,09/27/2013 12:00:01 AM,MURPHYS AUCTION
43203,2004,CHEVROLET,EXPRESS,CARGO VAN,SPD,6200.00,09/15/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
43416,2004,CHEVROLET,EXPRESS,CARGO VAN,DPR,6450.00,11/04/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
53882,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,8652.00,09/16/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
41706,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2025.00,04/26/2016 12:00:01 AM,MURPHYS AUCTION
41705,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,4644.00,10/21/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
51722,2005,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,3650.00,07/13/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
61724,2006,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,3350.00,03/03/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
70466,2007,CHEVROLET,IMPALA,PEO MIDSIZE SEDAN,SPD,3250.00,04/12/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
70463,2007,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,807.00,04/21/2014 12:00:01 AM,MURPHYS AUCTION
51720,2005,CHEVROLET,IMPALA,PEO MIDSIZE SEDAN,SPD,3400.00,02/01/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
51129,2005,CHEVROLET,IMPALA,MIDSIZE SEDAN,SFD,2701.00,11/25/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
41702,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,3450.00,10/14/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
80480,2008,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2801.00,04/12/2017 12:00:01 AM,BIDADOO ONLINE AUCTION
38359,2003,CHEVROLET,MALIBU,SEDAN MIDSIZE,SPD,3053.00,10/21/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
33502,2003,CHEVROLET,S10,COMPACT PICKUP,SDOT,4606.00,03/28/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
P1702,1996,MANNS,TRAILER,TRAILER - 5000 LB GVWR,DPR,405.00,06/03/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
61763,2006,DODGE,CARAVAN,VAN - MINIVAN - 8 PASSENGER,SFD,5556.00,09/15/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
53521,2005,DODGE,CARAVAN,CARGO MINIVAN,SDOT,4325.00,11/18/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
21097,2002,DODGE,NEON,SUBCOMPACT SEDAN,SDCI,3050.00,12/17/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
21595,2002,DODGE,NEON,SUBCOMPACT SEDAN,SFD,3100.00,06/25/2014 12:00:01 AM,MURPHYS AUCTION
01404,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN,SPD,3700.00,12/19/2013 12:00:01 AM,BIDADOO ONLINE AUCTION
12412,2001,PLYMOUTH,NEON,SUBCOMPACT SEDAN,SDCI,4500.00,11/08/2013 12:00:01 AM,MURPHYS AUCTION
33417,2003,FORD,CLUB WAGON,PASSENGER VAN,DPR,9200.00,09/24/2014 12:00:01 AM,BIDADOO ONLINE AUCTION
99237,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,2035.00,02/03/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
99234,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,2125.00,07/29/2015 12:00:01 AM,BIDADOO ONLINE AUCTION
99232,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,2175.00,03/01/2016 12:00:01 AM,BIDADOO ONLINE AUCTION
99223,2009,FORD,CROWN VICTORIA,PATROL CAR,SPD,1200.00,01/08/2015 12:00:01 AM,MURPHYS AUCTION
